id,filename,repository,categories,status,confidence,related_repositories,related_artifacts_note
1,"product-marketing.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
2,"evals.json","current-repo","Agents;Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
3,"sample-size-guide.md","current-repo","Agents;Testing;QA;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
4,"test-templates.md","current-repo","Agents;Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
5,"SKILL.md","current-repo","Agents;Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
6,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
7,"generative-tools.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
8,"platform-specs.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
9,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
10,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
11,"ad-copy-templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
12,"audience-targeting.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
13,"conversion-tracking.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
14,"platform-setup-checklists.md","current-repo","Agents;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
15,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
16,"evals.json","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
17,"content-patterns.md","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
18,"content-types.md","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
19,"okf.md","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
20,"platform-ranking-factors.md","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
21,"SKILL.md","current-repo","AI;Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
22,"evals.json","current-repo","Agents;Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
