id,filename,relative_path,repository,size_bytes,modified_date,file_type,source,parent_folder
1,"product-marketing.md",".agents/product-marketing.md","current-repo","8456","2026-06-26","md","current-repo-filesystem",".agents"
2,"evals.json",".agents/skills/ab-testing/evals/evals.json","current-repo","8027","2026-06-16","json","current-repo-filesystem",".agents/skills/ab-testing/evals"
3,"sample-size-guide.md",".agents/skills/ab-testing/references/sample-size-guide.md","current-repo","7716","2026-06-16","md","current-repo-filesystem",".agents/skills/ab-testing/references"
4,"test-templates.md",".agents/skills/ab-testing/references/test-templates.md","current-repo","6750","2026-06-16","md","current-repo-filesystem",".agents/skills/ab-testing/references"
5,"SKILL.md",".agents/skills/ab-testing/SKILL.md","current-repo","11515","2026-06-16","md","current-repo-filesystem",".agents/skills/ab-testing"
6,"evals.json",".agents/skills/ad-creative/evals/evals.json","current-repo","6940","2026-06-16","json","current-repo-filesystem",".agents/skills/ad-creative/evals"
7,"generative-tools.md",".agents/skills/ad-creative/references/generative-tools.md","current-repo","24741","2026-06-16","md","current-repo-filesystem",".agents/skills/ad-creative/references"
8,"platform-specs.md",".agents/skills/ad-creative/references/platform-specs.md","current-repo","6738","2026-06-16","md","current-repo-filesystem",".agents/skills/ad-creative/references"
9,"SKILL.md",".agents/skills/ad-creative/SKILL.md","current-repo","13968","2026-06-16","md","current-repo-filesystem",".agents/skills/ad-creative"
10,"evals.json",".agents/skills/ads/evals/evals.json","current-repo","6554","2026-06-16","json","current-repo-filesystem",".agents/skills/ads/evals"
11,"ad-copy-templates.md",".agents/skills/ads/references/ad-copy-templates.md","current-repo","5028","2026-06-16","md","current-repo-filesystem",".agents/skills/ads/references"
12,"audience-targeting.md",".agents/skills/ads/references/audience-targeting.md","current-repo","6310","2026-06-16","md","current-repo-filesystem",".agents/skills/ads/references"
13,"conversion-tracking.md",".agents/skills/ads/references/conversion-tracking.md","current-repo","11494","2026-06-16","md","current-repo-filesystem",".agents/skills/ads/references"
14,"platform-setup-checklists.md",".agents/skills/ads/references/platform-setup-checklists.md","current-repo","7890","2026-06-16","md","current-repo-filesystem",".agents/skills/ads/references"
15,"SKILL.md",".agents/skills/ads/SKILL.md","current-repo","14581","2026-06-16","md","current-repo-filesystem",".agents/skills/ads"
16,"evals.json",".agents/skills/ai-seo/evals/evals.json","current-repo","6677","2026-06-16","json","current-repo-filesystem",".agents/skills/ai-seo/evals"
17,"content-patterns.md",".agents/skills/ai-seo/references/content-patterns.md","current-repo","10322","2026-06-16","md","current-repo-filesystem",".agents/skills/ai-seo/references"
18,"content-types.md",".agents/skills/ai-seo/references/content-types.md","current-repo","2609","2026-06-16","md","current-repo-filesystem",".agents/skills/ai-seo/references"
19,"okf.md",".agents/skills/ai-seo/references/okf.md","current-repo","6056","2026-06-16","md","current-repo-filesystem",".agents/skills/ai-seo/references"
20,"platform-ranking-factors.md",".agents/skills/ai-seo/references/platform-ranking-factors.md","current-repo","11336","2026-06-16","md","current-repo-filesystem",".agents/skills/ai-seo/references"
21,"SKILL.md",".agents/skills/ai-seo/SKILL.md","current-repo","26544","2026-06-16","md","current-repo-filesystem",".agents/skills/ai-seo"
22,"evals.json",".agents/skills/analytics/evals/evals.json","current-repo","6455","2026-06-16","json","current-repo-filesystem",".agents/skills/analytics/evals"
23,"event-library.md",".agents/skills/analytics/references/event-library.md","current-repo","8914","2026-06-16","md","current-repo-filesystem",".agents/skills/analytics/references"
